Name	GR
YCL074W	0.341
YPL120W	0.341
YKR094C	0.341
YJR003C	0.341
YER116C	0.341
YMR095C	0.341
YDL134C	0.341
YER033C	0.341
YOR019W	0.341
YJL192C	0.341
YMR158W-A	0.341
YDR098C	0.341
YPR146C	0.341
YKR070W	0.341
YOR137C	0.341
YGR151C	0.341
YKR065C	0.341
YDR218C	0.341
YDR143C	0.341
YDL026W	0.341
YNL098C	0.341
YHR191C	0.341
YDR351W	0.341
YLR377C	0.341
YKR053C	0.341
YHL002W	0.341
YGR164W	0.341
YDR424C	0.341
YBR244W	0.341
YDR370C	0.341
YGR031W	0.341
YBR132C	0.341
YGL033W	0.341
YLR231C	0.341
YLR151C	0.341
YHR045W	0.341
YGL149W	0.341
YDR142C	0.341
YIL010W	0.341
YNL032W	0.341
YKL040C	0.341
YLR017W	0.341
YFR024C-A	0.341
YGR213C	0.341
YHL024W	0.341
YMR088C	0.341
YIL088C	0.341
YDR423C	0.341
YPL130W	0.341
YLL061W	0.341
YGL086W	0.341
YLR375W	0.341
YJR010C-A	0.341
YGL118C	0.341
YMR318C	0.341
YDR459C	0.340
YFR043C	0.340
YGL032C	0.340
YOR338W	0.340
YNL211C	0.340
YNL219C	0.340
YNR045W	0.340
YGR154C	0.340
YMR186W	0.340
YDL227C	0.340
YDR140W	0.340
YMR175W	0.340
YNL127W	0.340
YBR100W	0.340
YML095C	0.340
YLR368W	0.340
YKL092C	0.340
YOL112W	0.340
YLR228C	0.340
YER096W	0.340
YGL034C	0.340
YDL080C	0.340
YLR341W	0.340
YEL004W	0.340
YFR012W	0.340
YER019W	0.340
YLR311C	0.340
YMR086C-A	0.340
YPR063C	0.340
YOR377W	0.340
YNL154C	0.340
YDR310C	0.340
YOL003C	0.340
YBR201W	0.340
YOL032W	0.340
YCR033W	0.340
YOR306C	0.340
YDR265W	0.340
YOR308C	0.340
YLR043C	0.340
YLR361C	0.340
YPL189W	0.340
YGL177W	0.340
YAL027W	0.340
YHR209W	0.340
YLL007C	0.340
YPR122W	0.340
YDR030C	0.340
YFR023W	0.340
YOR222W	0.340
YPL030W	0.340
YDL186W	0.340
YFL051C	0.340
YBR040W	0.340
YJL108C	0.340
YOL126C	0.340
YGL154C	0.340
YOL013C	0.340
YLR262C-A	0.340
YGL242C	0.340
YOR356W	0.340
YAL046C	0.340
YPR130C	0.340
YJL107C	0.340
YCR030C	0.340
YDL184C	0.340
YDR028C	0.340
YGR189C	0.340
YJR126C	0.340
YJR128W	0.340
YGL087C	0.340
YPR031W	0.340
YMR039C	0.340
YOL136C	0.340
YGL157W	0.340
YLL009C	0.340
YDR400W	0.340
YOR003W	0.340
YIL101C	0.340
YDR538W	0.340
YJL112W	0.340
YIL108W	0.340
YJR116W	0.340
YKR061W	0.340
YOR018W	0.340
YMR007W	0.340
YOR342C	0.340
YDR428C	0.340
YMR147W	0.340
YOL106W	0.340
YEL056W	0.340
YKL162C	0.340
YLR193C	0.340
YGR014W	0.340
YDR509W	0.340
YGR275W	0.340
YDL137W	0.340
YKL070W	0.340
YLL062C	0.340
YFL056C	0.340
YOR058C	0.340
YFL004W	0.340
YDR358W	0.340
YMR004W	0.340
YGR244C	0.340
YPL034W	0.340
YDR135C	0.340
YLL026W	0.340
YOR104W	0.340
YBR249C	0.340
YGR242W	0.340
YFL003C	0.340
YMR109W	0.340
YMR237W	0.340
YNR039C	0.340
YOR304W	0.340
YGR289C	0.340
YPL183W-A	0.340
YIL066C	0.340
YOL124C	0.340
YDR511W	0.340
YDL119C	0.340
YNL270C	0.340
YBR276C	0.340
YJR150C	0.340
YLR080W	0.340
YOL132W	0.340
YNR032C-A	0.340
YGL161C	0.340
YMR255W	0.340
YGR271W	0.340
YOR017W	0.340
YDR042C	0.340
YBL078C	0.339
YGR266W	0.339
YNL108C	0.339
YFR014C	0.339
YLR335W	0.339
YHL012W	0.339
YMR115W	0.339
YJL163C	0.339
YFL010W-A	0.339
YCR032W	0.339
YOL053W	0.339
YNL202W	0.339
YJL084C	0.339
YGR282C	0.339
YDL176W	0.339
YCR099C	0.339
YGL219C	0.339
YDL081C	0.339
YOL076W	0.339
YJR133W	0.339
YOR197W	0.339
YIL073C	0.339
YIL086C	0.339
YJL083W	0.339
YBR214W	0.339
YBR209W	0.339
YDR059C	0.339
YNL050C	0.339
YPL264C	0.339
YLR016C	0.339
YPL052W	0.339
YOR365C	0.339
YJL098W	0.339
YDR257C	0.339
YJL089W	0.339
YIL105C	0.339
YOR198C	0.339
YLL057C	0.339
YOR283W	0.339
YOR064C	0.339
YHR032W	0.339
YPL134C	0.339
YMR251W-A	0.339
YHR159W	0.339
YLL056C	0.339
YBL038W	0.339
YMR169C	0.339
YDR117C	0.339
YOL153C	0.339
YJR115W	0.339
YHR157W	0.339
YPL152W	0.339
YOR126C	0.339
YKR021W	0.339
YIL072W	0.339
YMR271C	0.339
YOR154W	0.339
YDL035C	0.339
YDR179W-A	0.339
YLR257W	0.339
YDR032C	0.339
YOR252W	0.339
YJR154W	0.339
YJR127C	0.339
YGL006W	0.339
YPL064C	0.339
YHR210C	0.339
YPR150W	0.339
YJL123C	0.339
YNL335W	0.339
YDR306C	0.339
YGR173W	0.339
YLR188W	0.339
YFR053C	0.339
YAL048C	0.339
YGL146C	0.339
YJR047C	0.339
YKL066W	0.339
YBL075C	0.339
